Macrotrends Data Download,,,
,,,
Philippines Tourism Statistics 1995-2024,,,
,,,
,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,
,,,
,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,
,,,
,,,
, , , 
date, Spending ($), % of Exports, 
12/31/1995,1141000000,4.2583,
12/31/1996,1551000000,4.6312,
12/31/1997,2347000000,5.8144,
12/31/1998,1431000000,3.8704,
12/31/1999,2652000000,11.2473,
12/31/2000,2334000000,8.4993,
12/31/2001,2011000000,8.2347,
12/31/2002,2018000000,7.4619,
12/31/2003,1821000000,6.2346,
12/31/2004,2390000000,7.3398,
12/31/2005,2863000000,8.4773,
12/31/2006,4051000000,9.6917,
12/31/2007,5523000000,11.9276,
12/31/2008,3293000000,6.8987,
12/31/2009,2916000000,6.7458,
12/31/2010,3441000000,6.3075,
12/31/2011,4053000000,7.0913,
12/31/2012,4963000000,7.427,
12/31/2013,5599000000,8.2523,
12/31/2014,6059000000,8.0442,
12/31/2015,6414000000,8.876,
12/31/2016,6289000000,8.5058,
12/31/2017,8349000000,9.6358,
12/31/2018,9715000000,10.7498,
12/31/2019,11455000000,12.0909,
12/31/2020,2769000000,3.4598,
