Latitude,Longitude,Location,Country
39.9375,119.6625,WMQ7+3MV,China
39.9125,119.5791667,WH7H+CM5,China
39.77083333,119.4041667,QCC3+6VH,China
39.65416667,119.3125,80 A Na Ya Xiao Zhen Nan Qu,China
38.87083333,121.6791667,VMCH+9MF,China
39.02916667,121.5041667,2GH3+JMM,China
39.0125,121.6375,2J6P+WH9,China
39.3125,121.7541667,8Q64+R5Q Sandaowan Bridge,China
39.2125,121.6541667,6M73+25W,China
39.37083333,122.2958333,97CW+M4R,China
39.47083333,122.4291667,FCCH+QRM,China
39.47916667,122.5541667,FHH4+H42,China
39.6625,122.9791667,MX6H+R75,China
39.04583333,121.8291667,2RWH+CFP,China
39.20416667,122.0541667,6334+H29,China
40.5375,120.6791667,GMPH+JR8,China
40.3375,120.5125,8GP6+PX9,China
40.60416667,120.7541667,China,Xing Cheng Shi
40.22083333,120.4708333,China,Sui Zhong Xian
40.1875,120.3041667,58P2+VXP,China
30.84583333,121.6541667,RMW4+64M,China
31.72916667,121.0541667,P3H3+C7C,China
31.77916667,120.8208333,QRH9+MQM,China
34.8375,119.1791667,R5QJ+32G,China
34.8625,119.1708333,127 Yang Tuo She Qu,China
34.8875,119.1875,V5QQ+F25,China
34.92083333,119.1958333,W5CW+FJ6,China
35.04583333,119.2125,26W6+3XR,China
32.7375,120.8541667,PVP3+WG3,China
34.25416667,120.2791667,773H+FXJ,China
31.94583333,120.8875,WVWQ+Q2G,China
31.89583333,121.8541667,VVV3+V8G,China
32.05416667,121.6625,3M37+F9P,China
32.17916667,121.3875,59HQ+M23,China
54.6125,20.24583333,Ulitsa Haberezhnaya,Russia
37.55416667,121.2875,1 Jin Yu He Pan Xiao Qu,China
37.4375,121.5541667,CHP3+MFF,China
37.42916667,122.1708333,C5HC+946,China
37.42916667,122.2708333,C7H9+MV8,China
37.42083333,121.9458333,CWCV+CWP,China
36.8625,122.3708333,V97C+2HJ,China
37.10416667,122.4625,4F36+JRR,China
37.17916667,122.5541667,5HH3+FGQ,China
37.2875,122.5458333,7GQW+74P,China
36.69583333,121.2041667,M6W3+9R6,China
37.8125,120.8041667,2 Bi Gui Yuan,China
37.70416667,120.3958333,P93W+WFG,China
36.12916667,120.5791667,4HHJ+C68,China
36.3875,120.6875,169 Binhai Rd,China
39.0875,117.7208333,1 Shang De Yuan,China
29.95416667,121.7208333,33 Gulou E Rd,China
29.3875,121.4875,167 Ding Jia,China
29.89583333,121.9375,VWWQ+7JP,China
30.0125,122.0958333,71 Xi Yuan Xin Cun,China
30.0125,122.0625,2367+V43,China
30.04583333,121.9958333,2XWV+8PR,China
29.9625,122.2458333,X66V+QRH,China
29.10416667,121.5208333,4G4C+384,China
29.12083333,121.4708333,4FCC+FR9,China
28.24583333,121.3875,69WQ+69M,China
28.22083333,121.2791667,67CH+CH2,China
28.6375,121.5125,1981 Kai Fa Da Dao Dong Duan,China
27.97916667,120.7541667,XQH3+J2P,China
27.5875,120.5791667,HHPH+WG8,China
28.00416667,120.9708333,2X3C+RC2,China
27.40416667,120.5458333,CG3W+G6R,China
27.3375,120.5125,8GQ6+3V9,China
47.1375,38.32916667,Zheleznyy Most,Russia
26.0625,119.5125,3G76+4J5,China
26.47916667,119.5875,FHHQ+MCV,China
25.2875,118.9791667,7XPH+VJJ,China
26.64583333,119.5791667,JHWH+JX7 Jinma Brg,China
44.9125,37.32083333,Pionerskiy Prospekt,Russia
43.79583333,39.4625,Ulitsa Kommunarov,Russia
43.42083333,39.92916667,Ulitsa Stanislavskogo,Russia
43.3875,40.00416667,Цимлянская улица (адлер,Russia
27.10416667,120.2541667,63 Han Bi Lu,China
24.67916667,118.1625,101 Pu Tou Li,China
24.65416667,118.1458333,M43W+J98,China
24.6625,118.6458333,MJ7W+CP6,China
24.6125,118.3875,J96Q+J23,China
25.12083333,118.8791667,4VCH+8MJ,China
24.34583333,118.0291667,China,Long Hai Shi
21.37083333,110.4208333,9CCC+P68,China
20.27083333,110.2208333,76CC+54Q,China
21.40416667,109.1541667,C533+WQ7,China
21.85416667,108.4625,VF37+M2X,China
21.57083333,108.1375,H4CP+4X3,China
19.22083333,110.6125,6JC6+5WC,China
19.15416667,110.5625,5H37+83R,China
19.72083333,109.2958333,P7CW+G28,China
18.25416667,109.4958333,7F3W+GR3,China
18.2375,109.5541667,6HQ3+2QJ,China
18.27916667,109.4708333,7FHC+P5F,China
18.2875,109.4541667,7FP3+PQH,China
18.35416667,109.1291667,943H+MJ8,China
18.40416667,109.8125,CR36+JV9,China
19.4875,108.9375,FWQP+2W6 Nanluo Bridge,China
46.62916667,31.17916667,Vul. Lazurna,Ukraine
46.64583333,31.69583333,Vul. Yantarna,Ukraine
46.50416667,30.72916667,Хлебная гавань 5,Ukraine
46.54583333,30.74583333,Mykolaivs'ka Rd,Ukraine
47.0875,37.57083333,Konservna St,Ukraine
24.09583333,117.8958333,3VWW+7M5,China
24.04583333,117.7041667,2PW3+2HX,China
